,title,company,estimated salary,salary,summary
0,newSoftware Developer (Work Remotely!),Taylor Corporation,,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
1,newLead Web Developer,Infra Space Solutions,,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
2,newIT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
3,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
4,newFront End Developer,Queue-it,,,"Enthusiasm for the web, new technology, and design trends.Using HTML5, responsive design, and mobile UX principles, you will design Queue-it customer queue…"
5,"newREMOTE Frontend Developer - FinTech Startup, Mobile Applicat...",CyberCoders,,"$110,000 - $140,000 a year",Currently we are in need of a REMOTE Frontend Developer that has 3+ years of experience with React and mobile applications and comes from a software engineering…
6,newSoftware Engineer,CyberCoders,,"$90,000 - $100,000 a year","You will work on application design, development, and testing.Interface with 3rd party data vendors to consume 3rd Party APIs."
7,newLead Web Developer - Remote React + Lead of small dev team i...,Infraspace Technology Corp.,,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
8,newDeveloper (Specialty) II (contract),Best Buy,,,"Building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation scripts with…"
9,newSoftware Developer,Robert Half,,$55 - $65 an hour,Exposure to public facing high-traffic web sites.Experience in web front-end development including JavaScript and front-end frameworks.
10,newFull Stack .Net Developer,Insight Global,,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
11,newFront End Developer IV,pearlsoftsolutions,,,Developing front end web applications.Strong social and communication skills · Strong HTML/CSS skills · 3+ years utilizing RESTful APIs in front end web…
